Date : 2020-05-27 12:08:34
Directory : c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform
Total : 76 files,  23285 codes, 149 comments, 419 blanks, all 23853 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LoginReducer.js                                 | JavaScript       |         60 |          0 |          2 |         62 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\UIState\UILayoutState.js                          | JavaScript       |         15 |          0 |          8 |         23 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\UserState\UserState.js                            | JavaScript       |         18 |          0 |          1 |         19 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Landing\LandingRoute.js                                 | JavaScript       |         71 |          1 |          6 |         78 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Login\LoginRoute.js                                     | JavaScript       |        134 |          1 |          7 |        142 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\ProductBackground.js                                   | JavaScript       |         21 |          0 |          5 |         26 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\ProtectedRoute.js                                      | JavaScript       |         33 |          0 |          6 |         39 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\AuthService.js                                       | JavaScript       |         23 |          0 |          4 |         27 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\BaseUrlService.js                                    | JavaScript       |          4 |          0 |          2 |          6 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\HistoryService.js                                    | JavaScript       |          3 |          0 |          2 |          5 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\IconsService.js                                      | JavaScript       |         23 |          0 |          5 |         28 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\ToolTipService.js                                    | JavaScript       |          0 |          1 |          1 |          2 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Styles\LayoutStyles.js                                        | JavaScript       |        216 |          8 |          6 |        230 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Styles\SubNavbarStyles.js                                     | JavaScript       |         60 |          0 |          3 |         63 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GetInitials.js                                          | JavaScript       |          6 |          0 |          2 |          8 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\ImportCard.jsx                                          | JavaScript React |         73 |         12 |          5 |         90 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\WorkflowStepper.jsx                                  | JavaScript React |         55 |          0 |          8 |         63 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\NotificationDialog.jsx                                  | JavaScript React |         50 |          7 |          6 |         63 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\SimpleDialog.js                                         | JavaScript       |         86 |          3 |          6 |         95 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\DragAndDrop.svg                                             | XML              |         79 |          0 |          1 |         80 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\ExistingDeck.svg                                            | XML              |         17 |          0 |          0 |         17 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Import.svg                                                  | XML              |         43 |          1 |          1 |         45 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\ImportDatabase.svg                                          | XML              |         52 |          1 |          2 |         55 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\MSExcel.svg                                                 | XML              |          7 |          0 |          0 |          7 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Notepad.svg                                                 | XML              |         50 |          1 |          1 |         52 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\ImportActions.js                                      | JavaScript       |         28 |          0 |          2 |         30 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\SetStepperActions.js                                 | JavaScript       |         62 |          0 |          2 |         64 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Reducers\ImportReducer.js                                    | JavaScript       |         90 |          2 |          9 |        101 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\State\ImportState.js                                         | JavaScript       |         16 |          0 |          4 |         20 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\ImportBackground.js                                  | JavaScript       |         21 |          0 |          5 |         26 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\ImportLayout.js                                      | JavaScript       |         64 |          0 |          9 |         73 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\EconomicsData\ImportEconomicsLanding.js                     | JavaScript       |         11 |          0 |          4 |         15 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportExcelWorkflow\ ImportExcelWorkflow.js           | JavaScript       |        159 |          3 |          9 |        171 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportExcelWorkflow\ ImportExcelDnD.js     | JavaScript       |        293 |          1 |          9 |        303 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportExcelWorkflow\ ImportExcelPreview.js | JavaScript       |        154 |          3 |         14 |        171 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportExcelWorkflow\ ImportExcelMatch.js   | JavaScript       |        363 |         13 |         25 |        401 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportFacilitiesLanding.js                   | JavaScript       |        116 |          4 |         11 |        131 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\FacilitiesDeck\ImportFaciltiesDeck.js                       | JavaScript       |         60 |          0 |          5 |         65 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\ForecastDeck\ImportForecastLanding.js                       | JavaScript       |         74 |          2 |          6 |         82 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\ProductionData\ConnectProductionLanding.js                  | JavaScript       |         11 |          0 |          4 |         15 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\ContextDrawerContentService.js                            | JavaScript       |         13 |          0 |          5 |         18 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\FileIconService.js                                        | JavaScript       |         13 |          0 |          4 |         17 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\FileSizeService.js                                        | JavaScript       |          9 |          0 |          3 |         12 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Common\NetworkLayout.js                                           | JavaScript       |         11 |          0 |          4 |         15 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Images\Pipeline.svg                                               | XML              |          1 |          0 |          0 |          1 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Network.js                                                        | JavaScript       |         17 |          0 |          3 |         20 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualization\Common\VisualyticsLayout.js                               | JavaScript       |         11 |          0 |          4 |         15 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\index.css                                                                 | CSS              |         15 |          0 |          2 |         17 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\index.js                                                                  | JavaScript       |         39 |          3 |          6 |         48 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\serviceWorker.js                                                          | JavaScript       |         98 |         31 |         13 |        142 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\setupTests.js                                                             | JavaScript       |          1 |          4 |          1 |          6 |
| Total                                                                                                                                                                   |                  |     23,285 |        149 |        419 |     23,853 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
