Date : 2021-05-11 09:51:46
Directory : c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src
Total : 614 files,  50408 codes, 1225 comments, 4911 blanks, all 56544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| Network\Redux\Sagas                                                                                                                                                                                        |         10 |      1,068 |          4 |        127 |      1,199 |
| Network\Redux\State                                                                                                                                                                                        |          2 |        155 |          2 |         28 |        185 |
| Network\Routes                                                                                                                                                                                             |          7 |      1,148 |         42 |         94 |      1,284 |
| Network\Services                                                                                                                                                                                           |          3 |         82 |          0 |         16 |         98 |
| Network\Utils                                                                                                                                                                                              |          2 |         28 |          0 |          9 |         37 |
| Network\Workflows                                                                                                                                                                                          |          2 |        135 |          0 |         13 |        148 |
| Project                                                                                                                                                                                                    |         19 |      1,383 |          6 |        157 |      1,546 |
| Project\Components                                                                                                                                                                                         |          8 |        552 |          1 |         44 |        597 |
| Project\Components\ContextMenus                                                                                                                                                                            |          1 |         47 |          0 |          8 |         55 |
| Project\Components\DialogParameters                                                                                                                                                                        |          4 |         86 |          0 |         10 |         96 |
| Project\Components\Dialogs                                                                                                                                                                                 |          1 |        127 |          0 |          8 |        135 |
| Project\Components\Forms                                                                                                                                                                                   |          1 |         58 |          0 |          6 |         64 |
| Project\Components\Popovers                                                                                                                                                                                |          1 |        234 |          1 |         12 |        247 |
| Project\Redux                                                                                                                                                                                              |          8 |        664 |          2 |         91 |        757 |
| Project\Redux\Actions                                                                                                                                                                                      |          1 |        148 |          0 |         14 |        162 |
| Project\Redux\Reducers                                                                                                                                                                                     |          1 |        105 |          0 |         21 |        126 |
| Project\Redux\Sagas                                                                                                                                                                                        |          4 |        345 |          2 |         43 |        390 |
| Project\Redux\State                                                                                                                                                                                        |          2 |         66 |          0 |         13 |         79 |
| Project\Routes                                                                                                                                                                                             |          1 |         66 |          3 |         12 |         81 |
| Project\Workflows                                                                                                                                                                                          |          1 |         41 |          0 |          4 |         45 |
| Settings                                                                                                                                                                                                   |         23 |      1,250 |         52 |        148 |      1,450 |
| Settings\Components                                                                                                                                                                                        |          4 |        178 |          0 |         20 |        198 |
| Settings\Components\Dates                                                                                                                                                                                  |          1 |         20 |          0 |          4 |         24 |
| Settings\Components\DialogActions                                                                                                                                                                          |          2 |         48 |          0 |          6 |         54 |
| Settings\Components\Panels                                                                                                                                                                                 |          1 |        110 |          0 |         10 |        120 |
| Settings\Images                                                                                                                                                                                            |          7 |         49 |          0 |          6 |         55 |
| Settings\Redux                                                                                                                                                                                             |          5 |        274 |          0 |         41 |        315 |
| Settings\Redux\Actions                                                                                                                                                                                     |          1 |         71 |          0 |          9 |         80 |
| Settings\Redux\Reducers                                                                                                                                                                                    |          1 |         69 |          0 |         13 |         82 |
| Settings\Redux\Sagas                                                                                                                                                                                       |          1 |         88 |          0 |         11 |         99 |
| Settings\Redux\Sagas\Sagas                                                                                                                                                                                 |          1 |         88 |          0 |         11 |         99 |
| Settings\Redux\State                                                                                                                                                                                       |          2 |         46 |          0 |          8 |         54 |
| Settings\Routes                                                                                                                                                                                            |          2 |         81 |          1 |         12 |         94 |
| Settings\Routes\Common                                                                                                                                                                                     |          2 |         81 |          1 |         12 |         94 |
| Settings\UnitSettings                                                                                                                                                                                      |          2 |        521 |         50 |         57 |        628 |
| Settings\Utils                                                                                                                                                                                             |          2 |         12 |          0 |          4 |         16 |
| Visualytics                                                                                                                                                                                                |         36 |      4,430 |        191 |        261 |      4,882 |
| Visualytics\Common                                                                                                                                                                                         |          6 |        306 |         20 |         45 |        371 |
| Visualytics\Components                                                                                                                                                                                     |         20 |      2,278 |        165 |        176 |      2,619 |
| Visualytics\Components\ChartCategories                                                                                                                                                                     |          1 |         52 |          0 |          5 |         57 |
| Visualytics\Components\ChartDataPanel                                                                                                                                                                      |          1 |        155 |          3 |         14 |        172 |
| Visualytics\Components\Menus                                                                                                                                                                               |          2 |         49 |          0 |          6 |         55 |
| Visualytics\Images                                                                                                                                                                                         |          2 |        112 |          2 |          2 |        116 |
| Visualytics\Redux                                                                                                                                                                                          |          4 |        510 |          4 |         30 |        544 |
| Visualytics\Redux\ChartActions                                                                                                                                                                             |          1 |         53 |          0 |          8 |         61 |
| Visualytics\Redux\ChartReducer                                                                                                                                                                             |          1 |         68 |          3 |         13 |         84 |
| Visualytics\Redux\ChartState                                                                                                                                                                               |          2 |        389 |          1 |          9 |        399 |
| Visualytics\Utils                                                                                                                                                                                          |          4 |      1,224 |          0 |          8 |      1,232 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                   | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Administration.tsx                                                                            | TypeScript React |          5 |          0 |          3 |          8 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\Forms\RegisterForm.tsx                                                             | TypeScript React |         75 |          6 |          6 |         87 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\Forms\SingleRegisterForm.tsx                                                       | TypeScript React |        234 |         12 |          8 |        254 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Components\RadioGroups\RegistrationScenarios.tsx                                              | TypeScript React |         49 |          0 |          5 |         54 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Actions\AdminActions.ts                                                                 | TypeScript       |         58 |         11 |          6 |         75 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Reducers\AdminReducer.ts                                                                | TypeScript       |         44 |          0 |          4 |         48 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\Sagas\RegisterSaga.ts                                                                   | TypeScript       |         86 |          0 |          8 |         94 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Redux\State\RegistrationStateTypes.ts                                                         | TypeScript       |         15 |          0 |          1 |         16 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Common\AdministrationBackground.tsx                                                    | TypeScript React |         21 |          0 |          5 |         26 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Common\AdministrationLayout.tsx                                                        | TypeScript React |         64 |          1 |          7 |         72 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Administration\Routes\Register\RegisterRoute.tsx                                                             | TypeScript React |         26 |          0 |          5 |         31 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.test.js                                                                                  | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\App.tsx                                                                                      | TypeScript React |         68 |          0 |          6 |         74 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\App\index.tsx                                                                                    | TypeScript React |          3 |          1 |          2 |          6 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approval\Approval.tsx                                                                 | TypeScript React |         48 |          0 |         10 |         58 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approval\ApprovalTypes.ts                                                             | TypeScript       |          6 |          0 |          1 |          7 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approvers\Approvers.tsx                                                               | TypeScript React |         70 |          0 |          8 |         78 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Approvers\ApproversTypes.ts                                                           | TypeScript       |          5 |          0 |          2 |          7 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Author\Author.tsx                                                                     | TypeScript React |         45 |          0 |          9 |         54 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Author\AuthorTypes.ts                                                                 | TypeScript       |          6 |          0 |          3 |          9 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Avatar\UserAvatar.tsx                                                                 | TypeScript React |         46 |         34 |          2 |         82 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\BaseButtons\BaseButtons.tsx                                                           | TypeScript React |         54 |          0 |          4 |         58 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsComp.tsx                                                               | TypeScript React |         57 |         14 |          7 |         78 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsText.tsx                                                               | TypeScript React |         58 |          4 |          8 |         70 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\AnalyticsTitle.tsx                                                              | TypeScript React |         38 |          5 |          7 |         50 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Basic\MainTitle.tsx                                                                   | TypeScript React |         18 |          0 |          6 |         24 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Cards\MiniCard.tsx                                                                    | TypeScript React |         62 |          0 |          8 |         70 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Cards\ModuleCard.tsx                                                                  | TypeScript React |        124 |          0 |         10 |        134 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Checkboxes\ApexGridCheckbox.tsx                                                           | TypeScript React |         38 |          0 |          4 |         42 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Checkboxes\ApexGridCheckboxTypes.ts                                                       | TypeScript       |         10 |          2 |          2 |         14 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DateFormatPicker\DateFormatData.ts                                                    | TypeScript       |        258 |          0 |          1 |        259 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DateFormatPicker\DateFormatPicker.tsx                                                 | TypeScript React |         75 |          3 |          5 |         83 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DateFormatPicker\DateFormatPickerTypes.ts                                             | TypeScript       |         41 |          0 |          6 |         47 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogCancelButton.tsx                                                  | TypeScript React |         34 |          0 |          5 |         39 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogDeleteCancelButtons.tsx                                           | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogDisplayNetworkCancelButtons.tsx                                   | TypeScript React |         58 |          0 |          4 |         62 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogGenerateNetworkButton.tsx                                         | TypeScript React |         48 |          0 |          4 |         52 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogGenerateNetworkCancelButtons.tsx                                  | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOkayButton.tsx                                                    | TypeScript React |         48 |          0 |          4 |         52 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOkayCancelButtons.tsx                                             | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOneCancelButtons.tsx                                              | TypeScript React |         66 |          0 |          5 |         71 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOpenCancelButtons.tsx                                             | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRemoveNetworkCancelButtons.tsx                                    | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRunForecastCancelButtons.tsx                                      | TypeScript React |         58 |          0 |          4 |         62 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRunForecastCancelButtonsConfirmation.tsx                          | TypeScript React |         49 |          0 |          4 |         53 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveAndGenerateNetworkCancelButtons.tsx                           | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveButton.tsx                                                    | TypeScript React |         34 |          0 |          4 |         38 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveCancelButtons.tsx                                             | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSelectButton.tsx                                                  | TypeScript React |         34 |          0 |          4 |         38 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogViewSaveForecastCancelButtons.tsx                                 | TypeScript React |         73 |          0 |          7 |         80 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\DialogTypes.ts                                                                | TypeScript       |        142 |          0 |          5 |        147 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\Dialogs.tsx                                                                   | TypeScript React |         71 |          0 |          6 |         77 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\EconomicsParameterImportWorkflowDialog.tsx                                    | TypeScript React |        132 |          0 |          9 |        141 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\ListDialog.tsx                                                                | TypeScript React |        182 |          0 |          8 |        190 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\NewProjectWorkflowDialog.tsx                                                  | TypeScript React |        232 |          0 |         16 |        248 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\SelectWorksheetDialog.tsx                                                     | TypeScript React |        308 |          8 |         21 |        337 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\TextDialog.tsx                                                                | TypeScript React |        133 |          0 |          8 |        141 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\ContextDrawer.tsx                                                             | TypeScript React |        135 |          0 |          7 |        142 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\DialogContextDrawer.tsx                                                       | TypeScript React |        118 |          0 |          7 |        125 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\MainDrawer.tsx                                                                | TypeScript React |        284 |          2 |         11 |        297 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\MainDrawerTypes.ts                                                            | TypeScript       |          5 |          0 |          1 |          6 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Errors\TableMappingErrors.tsx                                                         | TypeScript React |         19 |          0 |          3 |         22 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Forms\LoginForm.tsx                                                                   | TypeScript React |        143 |          2 |          7 |        152 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Forms\NameAndDescriptionForm.tsx                                                      | TypeScript React |         51 |          0 |          3 |         54 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Forms\ServerLoginForm.tsx                                                             | TypeScript React |        298 |          2 |         16 |        316 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\IconButtons\IconButtonTypes.ts                                                        | TypeScript       |          8 |          0 |          2 |         10 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\IconButtons\IconButtonWithTooltip.tsx                                                 | TypeScript React |         34 |          0 |          4 |         38 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Icons\DialogIcons.tsx                                                                 | TypeScript React |         28 |          0 |          5 |         33 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Icons\DialogIconsTypes.ts                                                             | TypeScript       |          8 |          0 |          2 |         10 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Navbars\Navbar.tsx                                                                    | TypeScript React |        187 |          2 |          7 |        196 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Navbars\SubNavbar.tsx                                                                 | TypeScript React |        114 |          0 |          9 |        123 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\NavigationButtons\NavigationButtonTypes.ts                                            | TypeScript       |         21 |          0 |          2 |         23 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\NavigationButtons\NavigationButtons.tsx                                               | TypeScript React |        175 |          0 |          9 |        184 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\EditDeleteActionsPopover.tsx                                                 | TypeScript React |         88 |          0 |          5 |         93 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\FilterPopover.tsx                                                            | TypeScript React |        128 |          2 |          7 |        137 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\MoreIconsPopover.tsx                                                         | TypeScript React |        240 |          2 |          8 |        250 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\PopoverTypes.ts                                                              | TypeScript       |         11 |          0 |          2 |         13 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\RolesActionPopover.tsx                                                       | TypeScript React |        102 |          1 |          6 |        109 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\SortPopover.tsx                                                              | TypeScript React |        123 |          2 |          6 |        131 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\UserProfilePopover.tsx                                                       | TypeScript React |         21 |          0 |          3 |         24 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Prompts\ApexPrompt.tsx                                                                | TypeScript React |         20 |          1 |          3 |         24 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Saved\Saved.tsx                                                                       | TypeScript React |         43 |          0 |          9 |         52 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Saved\Types.ts                                                                        | TypeScript       |          1 |          0 |          1 |          2 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectMui.tsx                                                             | TypeScript React |         78 |          2 |          7 |         87 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectNative.tsx                                                          | TypeScript React |         32 |          0 |          4 |         36 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectRS.tsx                                                              | TypeScript React |         36 |          1 |          6 |         43 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\SelectItem.tsx                                                                | TypeScript React |         32 |          0 |          3 |         35 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\SelectItemsType.ts                                                            | TypeScript       |         32 |          0 |          4 |         36 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Streams\FromStream.tsx                                                                | TypeScript React |          3 |         34 |          2 |         39 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Styles\ApexFlexContainer.tsx                                                              | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Svg\TickIcon.svg                                                                      | XML              |          6 |          0 |          1 |          7 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Switches\ApexMuiSwitch.tsx                                                            | TypeScript React |         84 |          9 |          4 |         97 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Switches\ApexMuiSwitchTypes.ts                                                        | TypeScript       |         10 |          0 |          1 |         11 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGrid.tsx                                                      | TypeScript React |        382 |          8 |         40 |        430 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGridState.ts                                                  | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGridTypes.ts                                                  | TypeScript       |         53 |          0 |          5 |         58 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\DraggableHeaderRenderer.tsx                                       | TypeScript React |         57 |          0 |          6 |         63 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SelectEditor.tsx                                                  | TypeScript React |         41 |          0 |          3 |         44 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SimpleApexGrid.tsx                                                | TypeScript React |         95 |          0 |         18 |        113 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SortableHeaderCell.tsx                                            | TypeScript React |         47 |          0 |          6 |         53 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\useCombinedRefs.ts                                                | TypeScript       |         15 |          2 |          2 |         19 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableButtons.tsx                                                                | TypeScript React |         68 |          0 |          5 |         73 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableButtonsTypes.ts                                                            | TypeScript       |          4 |          0 |          1 |          5 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableTypes.ts                                                                   | TypeScript       |         14 |          0 |          5 |         19 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Tabs\TabsWrapper.tsx                                                                  | TypeScript React |        108 |          7 |         10 |        125 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Tabs\TabsWrapperTypes.ts                                                              | TypeScript       |          9 |          0 |          2 |         11 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\TextFields\ApexMuiTextField.tsx                                                       | TypeScript React |         62 |          0 |          7 |         69 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\TextFields\ApexTextField.tsx                                                          | TypeScript React |         53 |          0 |          7 |         60 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\User\UserProfile.tsx                                                                  | TypeScript React |        186 |          4 |         12 |        202 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\User\UserTypes.ts                                                                     | TypeScript       |         14 |          0 |          3 |         17 |
| c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Image.tsx                                                                     | TypeScript React |          5 |          0 |          3 |          8 |
