Date : 2021-05-11 09:51:46
Directory : c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src
Total : 614 files,  50408 codes, 1225 comments, 4911 blanks, all 56544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |        302 |     34,129 |        945 |      3,039 |     38,113 |
| TypeScript       |        244 |     14,466 |        209 |      1,714 |     16,389 |
| XML              |         43 |      1,272 |         19 |         36 |      1,327 |
| JavaScript       |         22 |        342 |         52 |         98 |        492 |
| JavaScript React |          2 |        165 |          0 |         14 |        179 |
| CSS              |          1 |         34 |          0 |         10 |         44 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                          |        614 |     50,408 |      1,225 |      4,911 |     56,544 |
| Administration                                                                                                                                                                                             |         11 |        677 |         30 |         58 |        765 |
| Administration\Components                                                                                                                                                                                  |          3 |        358 |         18 |         19 |        395 |
| Administration\Components\Forms                                                                                                                                                                            |          2 |        309 |         18 |         14 |        341 |
| Administration\Components\RadioGroups                                                                                                                                                                      |          1 |         49 |          0 |          5 |         54 |
| Administration\Redux                                                                                                                                                                                       |          4 |        203 |         11 |         19 |        233 |
| Administration\Redux\Actions                                                                                                                                                                               |          1 |         58 |         11 |          6 |         75 |
| Administration\Redux\Reducers                                                                                                                                                                              |          1 |         44 |          0 |          4 |         48 |
| Administration\Redux\Sagas                                                                                                                                                                                 |          1 |         86 |          0 |          8 |         94 |
| Administration\Redux\State                                                                                                                                                                                 |          1 |         15 |          0 |          1 |         16 |
| Administration\Routes                                                                                                                                                                                      |          3 |        111 |          1 |         17 |        129 |
| Administration\Routes\Common                                                                                                                                                                               |          2 |         85 |          1 |         12 |         98 |
| Administration\Routes\Register                                                                                                                                                                             |          1 |         26 |          0 |          5 |         31 |
| Application                                                                                                                                                                                                |        199 |     11,306 |        315 |      1,109 |     12,730 |
| Application\App                                                                                                                                                                                            |          3 |         79 |          1 |         10 |         90 |
| Application\Components                                                                                                                                                                                     |        106 |      7,681 |        153 |        628 |      8,462 |
| Application\Components\Approval                                                                                                                                                                            |          2 |         54 |          0 |         11 |         65 |
| Application\Components\Approvers                                                                                                                                                                           |          2 |         75 |          0 |         10 |         85 |
| Application\Components\Author                                                                                                                                                                              |          2 |         51 |          0 |         12 |         63 |
| Application\Components\Avatar                                                                                                                                                                              |          1 |         46 |         34 |          2 |         82 |
| Application\Components\BaseButtons                                                                                                                                                                         |          1 |         54 |          0 |          4 |         58 |
| Application\Components\Basic                                                                                                                                                                               |          4 |        171 |         23 |         28 |        222 |
| Application\Components\Cards                                                                                                                                                                               |          2 |        186 |          0 |         18 |        204 |
| Application\Components\Checkboxes                                                                                                                                                                          |          2 |         48 |          2 |          6 |         56 |
| Application\Components\DateFormatPicker                                                                                                                                                                    |          3 |        374 |          3 |         12 |        389 |
| Application\Components\DialogButtons                                                                                                                                                                       |         17 |        901 |          0 |         73 |        974 |
| Application\Components\Dialogs                                                                                                                                                                             |          7 |      1,200 |          8 |         73 |      1,281 |
| Application\Components\Drawers                                                                                                                                                                             |          4 |        542 |          2 |         26 |        570 |
| Application\Components\Errors                                                                                                                                                                              |          1 |         19 |          0 |          3 |         22 |
| Application\Components\Forms                                                                                                                                                                               |          3 |        492 |          4 |         26 |        522 |
| Application\Components\IconButtons                                                                                                                                                                         |          2 |         42 |          0 |          6 |         48 |
| Application\Components\Icons                                                                                                                                                                               |          2 |         36 |          0 |          7 |         43 |
| Application\Components\Navbars                                                                                                                                                                             |          2 |        301 |          2 |         16 |        319 |
| Application\Components\NavigationButtons                                                                                                                                                                   |          2 |        196 |          0 |         11 |        207 |
| Application\Components\Popovers                                                                                                                                                                            |          7 |        713 |          7 |         37 |        757 |
| Application\Components\Prompts                                                                                                                                                                             |          1 |         20 |          1 |          3 |         24 |
| Application\Components\Saved                                                                                                                                                                               |          2 |         44 |          0 |         10 |         54 |
| Application\Components\Selects                                                                                                                                                                             |          5 |        210 |          3 |         24 |        237 |
| Application\Components\Streams                                                                                                                                                                             |          1 |          3 |         34 |          2 |         39 |
| Application\Components\Styles                                                                                                                                                                              |          1 |         57 |          0 |          4 |         61 |
| Application\Components\Svg                                                                                                                                                                                 |          1 |          6 |          0 |          1 |          7 |
| Application\Components\Switches                                                                                                                                                                            |          2 |         94 |          9 |          5 |        108 |
| Application\Components\Table                                                                                                                                                                               |         11 |        780 |         10 |         92 |        882 |
| Application\Components\Table\ReactDataGrid                                                                                                                                                                 |          8 |        694 |         10 |         81 |        785 |
| Application\Components\Tabs                                                                                                                                                                                |          2 |        117 |          7 |         12 |        136 |
| Application\Components\TextFields                                                                                                                                                                          |          2 |        115 |          0 |         14 |        129 |
| Application\Components\User                                                                                                                                                                                |          2 |        200 |          4 |         15 |        219 |
| Application\Components\Visuals                                                                                                                                                                             |          5 |        202 |          0 |         30 |        232 |
| Application\Components\Workflows                                                                                                                                                                           |          5 |        332 |          0 |         35 |        367 |
| Application\Events                                                                                                                                                                                         |          2 |         29 |          0 |          6 |         35 |
| Application\Images                                                                                                                                                                                         |          8 |        519 |          6 |          7 |        532 |
| Application\Layout                                                                                                                                                                                         |          2 |        141 |          2 |         15 |        158 |
| Application\Redux                                                                                                                                                                                          |         35 |      1,805 |         40 |        241 |      2,086 |
| Application\Redux\Actions                                                                                                                                                                                  |          8 |        595 |          5 |         56 |        656 |
| Application\Redux\Middlewares                                                                                                                                                                              |          4 |         61 |          8 |         16 |         85 |
| Application\Redux\Reducers                                                                                                                                                                                 |          9 |        593 |         16 |         76 |        685 |
| Application\Redux\Sagas                                                                                                                                                                                    |          2 |        137 |          0 |         16 |        153 |
| Application\Redux\State                                                                                                                                                                                    |         11 |        326 |          4 |         69 |        399 |
| Application\Redux\Store                                                                                                                                                                                    |          1 |         93 |          7 |          8 |        108 |
| Application\Routes                                                                                                                                                                                         |          5 |        211 |         12 |         22 |        245 |
| Application\Routes\Landing                                                                                                                                                                                 |          1 |         99 |          2 |          5 |        106 |
| Application\Routes\Login                                                                                                                                                                                   |          1 |         50 |          0 |          5 |         55 |
| Application\Services                                                                                                                                                                                       |          3 |         35 |         25 |         15 |         75 |
| Application\Theme                                                                                                                                                                                          |          1 |        178 |         30 |         10 |        218 |
| Application\Types                                                                                                                                                                                          |          1 |         92 |          2 |          7 |        101 |
| Application\Utils                                                                                                                                                                                          |         33 |        536 |         44 |        148 |        728 |
| Corporate                                                                                                                                                                                                  |          4 |         95 |          1 |         17 |        113 |
| Corporate\Routes                                                                                                                                                                                           |          3 |         90 |          1 |         14 |        105 |
| Corporate\Routes\Common                                                                                                                                                                                    |          3 |         90 |          1 |         14 |        105 |
